"Company Name","Country","Industry","Employee Range","Revenue Range","Time spent","Pages viewed","Domain","Initial Page seen","Campaign","Channel"
"I Engineering Group","Pakistan","Construction","500 - 999","$100M - $250M","17s","","ieng-group.com","www.factors.ai","$none","Direct"
"KPIT","India","Software and Technology","5,000 - 9,999","$500M - $1B","17s","","kpit.com","www.factors.ai/versus/dealfront","TD_Search_India_Deanon_Competition","Paid Search"
"Manish Naik & Associates","India","Business Services","10 - 19","$1M - $5M","17s","","manishnaik.in","www.factors.ai","$none","Direct"
"BOMBAY HOSPITAL","India","Healthcare and Medical","1,000 - 4,999","$10M - $25M","17s","","bombayhospital.com","staging-app.factors.ai","$none","Direct"
"PTCL","Pakistan","Telecommunications","10,000+","$500M - $1B","17s","","ptcl.com.pk","www.factors.ai","$none","Direct"
"Universidade Federal De Goiás","Brazil","Education","5,000 - 9,999","$10M - $25M","17s","","ufg.br","www.factors.ai/blog/dreamdata-alternatives","$none","Direct"
"SS Information Systems Pvt Ltd","India","Software and Technology","20 - 49","$5M - $10M","17s","","ssinformation.in","app.factors.ai","$none","Direct"
"Lubred Technologies","Nigeria","Software and Technology","10 - 19","$1M - $5M","16s","","lubred.com","www.factors.ai/blog/net-dollar-retention","$none","Direct"
"Lavelle Law","United States","Business Services","20 - 49","$10M - $25M","16s","","lavellelaw.com","app.factors.ai/login","$none","Direct"
"The Cliff","Spain","Software and Technology","20 - 49","$5M - $10M","16s","","the-cliff.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"University Of Peshawar","Pakistan","Education","1,000 - 4,999","$250M - $500M","16s","","uop.edu.pk","www.factors.ai","$none","Organic Search"
"Intent - labs.com","India","Software and Technology","500 - 999","$5M - $10M","16s","","intent-labs.com","www.factors.ai","$none","Organic Search"
"Omeda","United States","Software and Technology","100 - 249","$10M - $25M","16s","","omeda.com","www.factors.ai","$none","Direct"
"Tugo","Canada","Financial Services","100 - 249","$100M - $250M","16s","","tugo.com","www.factors.ai","$none","Direct"
"ERELEGO DIGI MEDIA PVT LTD","India","Media and Entertainment","20 - 49","$1M - $5M","16s","","erelego.com","app.factors.ai/login","$none","Direct"
"AVASO Technology Solutions","India","Business Services","1,000 - 4,999","$250M - $500M","16s","","avasotech.com","www.factors.ai/promo","$none","Direct"
"KPJ Healthcare Berhad","Malaysia","Healthcare and Medical","1,000 - 4,999","$500M - $1B","16s","","kpjhealth.com.my","www.factors.ai/blog/total-addressable-market","$none","Direct"
"Leyton","Morocco","Business Services","1,000 - 4,999","$250M - $500M","15s","","leyton.com","app.factors.ai/login","$none","Direct"
"Kenscio Digital Marketing Pvt Ltd","India","Business Services","100 - 249","$10M - $25M","15s","","kenscio.com","www.factors.ai","$none","Organic Search"
"Henkel  AG","India","Consumer Goods and Services","10,000+","$5B+","15s","","henkel.com","www.factors.ai","$none","Direct"
"Karomi","India","Software and Technology","50 - 99","$10M - $25M","15s","","karomi.com","www.factors.ai","$none","Direct"
"Whirlwind","India","Software and Technology","20 - 49","$10M - $25M","15s","","whirlwind.co.in","www.factors.ai","$none","Direct"
"Zain Mobile Telecommunications Company KSC  ","Sudan","Telecommunications","5,000 - 9,999","$2.5B - $5B","15s","","zain.com","www.factors.ai/blog/stages-of-the-customer-journey","$none","Organic Search"
"PricewaterhouseCoopers ","India","Financial Services","10,000+","$5B+","15s","","pwc.com","www.factors.ai/blog/top-warmly-ai-alternatives","$none","Direct"
"Yokoy","Germany","Software and Technology","100 - 249","$10M - $25M","15s","","yokoy.ai","www.factors.ai","$none","Direct"
"HubSpire","India","Software and Technology","20 - 49","$1M - $5M","15s","","hubspire.com","www.factors.ai/blog/leadfeeder-vs-albacross","$none","Organic Search"
"Kroll","United Kingdom","Business Services","5,000 - 9,999","$500M - $1B","15s","","kroll.com","www.factors.ai","$none","Direct"
"Litmus7 Systems Consulting","India","Business Services","250 - 499","$100M - $250M","15s","","litmus7.com","www.factors.ai","$none","Direct"
"NovelVox","India","Software and Technology","100 - 249","$10M - $25M","14s","","novelvox.com","www.factors.ai","$none","Referral"
"PlanSource","India","Software and Technology","500 - 999","$100M - $250M","14s","","plansource.com","staging-app.factors.ai","$none","Direct"
